,competition,season,rank,squad,games,wins,draws,losses,goals_for,goals_against,goal_diff,points,players_used,assists,pens_made,pens_att,cards_yellow,cards_red,shots_on_target_against,saves,clean_sheets,shots_on_target,games_starts,games_complete,games_subs,unused_subs,points_per_match,adjusted_wins,adjusted_draws,adjusted_losses,adjusted_goals_for,adjusted_goals_against,adjusted_goal_diff,adjusted_assists,adjusted_pens_made,adjusted_pens_att,adjusted_shots_on_target_against,adjusted_saves,adjusted_clean_sheets,adjusted_shots_on_target,adjusted_points,adjusted_points_per_match,UEFA Champions League,UEFA Europa League,Relegation
0,Premier League,2010-2011,1,Manchester Utd,38,23,11,4,78,37,41,80,29,59,3,5,56.0,3.0,139,102,15,218,418,,99,,2.11,23,11,4,78,37,41.0,59,3,5,139,102,15,218,80,2.11,Yes,No,No
1,Premier League,2010-2011,2,Chelsea,38,21,8,9,69,33,36,71,24,39,6,8,59.0,1.0,148,115,15,241,418,,107,,1.87,21,8,9,69,33,36.0,39,6,8,148,115,15,241,71,1.87,Yes,No,No
2,Premier League,2010-2011,3,Manchester City,38,21,8,9,60,33,27,71,27,35,8,9,71.0,5.0,153,120,18,182,418,,102,,1.87,21,8,9,60,33,27.0,35,8,9,153,120,18,182,71,1.87,Yes,No,No
3,Premier League,2010-2011,4,Arsenal,38,19,11,8,72,43,29,68,27,51,4,7,65.0,6.0,150,106,13,243,418,,107,,1.79,19,11,8,72,43,29.0,51,4,7,150,106,13,243,68,1.79,Yes,No,No
4,Premier League,2010-2011,5,Tottenham,38,16,14,8,55,46,9,62,28,34,5,5,50.0,2.0,183,137,8,202,418,,96,,1.63,16,14,8,55,46,9.0,34,5,5,183,137,8,202,62,1.63,No,Yes,No
5,Premier League,2010-2011,6,Liverpool,38,17,7,14,59,44,15,58,30,30,7,8,63.0,2.0,149,105,14,204,418,,93,,1.53,17,7,14,59,44,15.0,30,7,8,149,105,14,204,58,1.53,No,No,No
6,Premier League,2010-2011,7,Everton,38,13,15,10,51,45,6,54,24,33,3,4,56.0,5.0,153,108,9,192,418,,106,,1.42,13,15,10,51,45,6.0,33,3,4,153,108,9,192,54,1.42,No,No,No
7,Premier League,2010-2011,8,Fulham,38,11,16,11,49,43,6,49,29,32,2,3,52.0,1.0,171,128,14,182,418,,93,,1.29,11,16,11,49,43,6.0,32,2,3,171,128,14,182,49,1.29,No,Yes,No
8,Premier League,2010-2011,9,Aston Villa,38,12,12,14,48,59,-11,48,32,32,4,6,70.0,2.0,189,130,7,167,418,,89,,1.26,12,12,14,48,59,-11.0,32,4,6,189,130,7,167,48,1.26,No,No,No
9,Premier League,2010-2011,10,Sunderland,38,12,11,15,45,56,-11,47,31,23,4,5,56.0,5.0,206,150,13,159,418,,99,,1.24,12,11,15,45,56,-11.0,23,4,5,206,150,13,159,47,1.24,No,No,No
10,Premier League,2010-2011,11,West Brom,38,12,11,15,56,71,-15,47,28,37,4,6,51.0,7.0,182,111,2,183,418,,107,,1.24,12,11,15,56,71,-15.0,37,4,6,182,111,2,183,47,1.24,No,No,No
11,Premier League,2010-2011,12,Newcastle Utd,38,11,13,14,56,57,-1,46,30,35,5,5,78.0,2.0,161,104,9,179,418,,89,,1.21,11,13,14,56,57,-1.0,35,5,5,161,104,9,179,46,1.21,No,No,No
12,Premier League,2010-2011,13,Stoke City,38,13,7,18,46,48,-2,46,25,28,3,3,69.0,2.0,176,128,9,146,418,,104,,1.21,13,7,18,46,48,-2.0,28,3,3,176,128,9,146,46,1.21,No,Yes,No
13,Premier League,2010-2011,14,Bolton,38,12,10,16,52,56,-4,46,24,34,4,5,66.0,5.0,193,137,5,176,418,,107,,1.21,12,10,16,52,56,-4.0,34,4,5,193,137,5,176,46,1.21,No,No,No
14,Premier League,2010-2011,15,Blackburn,38,11,10,17,46,59,-13,43,29,28,1,2,64.0,5.0,194,135,8,143,418,,107,,1.13,11,10,17,46,59,-13.0,28,1,2,194,135,8,143,43,1.13,No,No,No
15,Premier League,2010-2011,16,Wigan Athletic,38,9,15,14,40,61,-21,42,25,20,2,3,67.0,4.0,196,135,7,175,418,,99,,1.11,9,15,14,40,61,-21.0,20,2,3,196,135,7,175,42,1.11,No,No,No
16,Premier League,2010-2011,17,Wolves,38,11,7,20,46,66,-20,40,30,29,3,3,62.0,2.0,199,133,5,145,418,,101,,1.05,11,7,20,46,66,-20.0,29,3,3,199,133,5,145,40,1.05,No,No,No
17,Premier League,2010-2011,18,Birmingham City,38,8,15,15,37,58,-21,39,26,23,2,2,56.0,3.0,257,199,9,122,418,,85,,1.03,8,15,15,37,58,-21.0,23,2,2,257,199,9,122,39,1.03,No,Yes,Yes
